word_key,normalised_word,display_word,dialect_code,source_data_status,kuperman_source_name,kuperman_source_url,kuperman_match_status,kuperman_matched_form,kuperman_raw_aoa,brysbaert_biemiller_source_name,brysbaert_biemiller_source_url,brysbaert_biemiller_match_status,brysbaert_biemiller_matched_form,brysbaert_biemiller_raw_aoa,current_age_band,proposed_age_band,review_status,review_notes
bed_en_gb,bed,bed,en-GB,kuperman:source_file_not_supplied;brysbaert_biemiller:source_file_not_supplied,Kuperman Stadthagen-Gonzalez Brysbaert AoA ratings,https://link.springer.com/article/10.3758/s13428-012-0210-4,unavailable,,,Brysbaert Biemiller AoA norms,https://link.springer.com/article/10.3758/s13428-016-0811-4,unavailable,,,candidate_review,,in_review,AoA source data not available or no exact match; keep active age_band unchanged.
bedroom_en_gb,bedroom,bedroom,en-GB,kuperman:source_file_not_supplied;brysbaert_biemiller:source_file_not_supplied,Kuperman Stadthagen-Gonzalez Brysbaert AoA ratings,https://link.springer.com/article/10.3758/s13428-012-0210-4,unavailable,,,Brysbaert Biemiller AoA norms,https://link.springer.com/article/10.3758/s13428-016-0811-4,unavailable,,,candidate_review,,in_review,AoA source data not available or no exact match; keep active age_band unchanged.
bench_en_gb,bench,bench,en-GB,kuperman:source_file_not_supplied;brysbaert_biemiller:source_file_not_supplied,Kuperman Stadthagen-Gonzalez Brysbaert AoA ratings,https://link.springer.com/article/10.3758/s13428-012-0210-4,unavailable,,,Brysbaert Biemiller AoA norms,https://link.springer.com/article/10.3758/s13428-016-0811-4,unavailable,,,candidate_review,,in_review,AoA source data not available or no exact match; keep active age_band unchanged.
best_en_gb,best,best,en-GB,kuperman:source_file_not_supplied;brysbaert_biemiller:source_file_not_supplied,Kuperman Stadthagen-Gonzalez Brysbaert AoA ratings,https://link.springer.com/article/10.3758/s13428-012-0210-4,unavailable,,,Brysbaert Biemiller AoA norms,https://link.springer.com/article/10.3758/s13428-016-0811-4,unavailable,,,candidate_review,,in_review,AoA source data not available or no exact match; keep active age_band unchanged.
bigger_en_gb,bigger,bigger,en-GB,kuperman:source_file_not_supplied;brysbaert_biemiller:source_file_not_supplied,Kuperman Stadthagen-Gonzalez Brysbaert AoA ratings,https://link.springer.com/article/10.3758/s13428-012-0210-4,unavailable,,,Brysbaert Biemiller AoA norms,https://link.springer.com/article/10.3758/s13428-016-0811-4,unavailable,,,candidate_review,,in_review,AoA source data not available or no exact match; keep active age_band unchanged.
biggest_en_gb,biggest,biggest,en-GB,kuperman:source_file_not_supplied;brysbaert_biemiller:source_file_not_supplied,Kuperman Stadthagen-Gonzalez Brysbaert AoA ratings,https://link.springer.com/article/10.3758/s13428-012-0210-4,unavailable,,,Brysbaert Biemiller AoA norms,https://link.springer.com/article/10.3758/s13428-016-0811-4,unavailable,,,candidate_review,,in_review,AoA source data not available or no exact match; keep active age_band unchanged.
big_en_gb,big,big,en-GB,kuperman:source_file_not_supplied;brysbaert_biemiller:source_file_not_supplied,Kuperman Stadthagen-Gonzalez Brysbaert AoA ratings,https://link.springer.com/article/10.3758/s13428-012-0210-4,unavailable,,,Brysbaert Biemiller AoA norms,https://link.springer.com/article/10.3758/s13428-016-0811-4,unavailable,,,candidate_review,,in_review,AoA source data not available or no exact match; keep active age_band unchanged.
bike_en_gb,bike,bike,en-GB,kuperman:source_file_not_supplied;brysbaert_biemiller:source_file_not_supplied,Kuperman Stadthagen-Gonzalez Brysbaert AoA ratings,https://link.springer.com/article/10.3758/s13428-012-0210-4,unavailable,,,Brysbaert Biemiller AoA norms,https://link.springer.com/article/10.3758/s13428-016-0811-4,unavailable,,,candidate_review,,in_review,AoA source data not available or no exact match; keep active age_band unchanged.
biology_en_gb,biology,biology,en-GB,kuperman:source_file_not_supplied;brysbaert_biemiller:source_file_not_supplied,Kuperman Stadthagen-Gonzalez Brysbaert AoA ratings,https://link.springer.com/article/10.3758/s13428-012-0210-4,unavailable,,,Brysbaert Biemiller AoA norms,https://link.springer.com/article/10.3758/s13428-016-0811-4,unavailable,,,candidate_review,,in_review,AoA source data not available or no exact match; keep active age_band unchanged.
bird_en_gb,bird,bird,en-GB,kuperman:source_file_not_supplied;brysbaert_biemiller:source_file_not_supplied,Kuperman Stadthagen-Gonzalez Brysbaert AoA ratings,https://link.springer.com/article/10.3758/s13428-012-0210-4,unavailable,,,Brysbaert Biemiller AoA norms,https://link.springer.com/article/10.3758/s13428-016-0811-4,unavailable,,,candidate_review,,in_review,AoA source data not available or no exact match; keep active age_band unchanged.
black_en_gb,black,black,en-GB,kuperman:source_file_not_supplied;brysbaert_biemiller:source_file_not_supplied,Kuperman Stadthagen-Gonzalez Brysbaert AoA ratings,https://link.springer.com/article/10.3758/s13428-012-0210-4,unavailable,,,Brysbaert Biemiller AoA norms,https://link.springer.com/article/10.3758/s13428-016-0811-4,unavailable,,,candidate_review,,in_review,AoA source data not available or no exact match; keep active age_band unchanged.
blue_en_gb,blue,blue,en-GB,kuperman:source_file_not_supplied;brysbaert_biemiller:source_file_not_supplied,Kuperman Stadthagen-Gonzalez Brysbaert AoA ratings,https://link.springer.com/article/10.3758/s13428-012-0210-4,unavailable,,,Brysbaert Biemiller AoA norms,https://link.springer.com/article/10.3758/s13428-016-0811-4,unavailable,,,candidate_review,,in_review,AoA source data not available or no exact match; keep active age_band unchanged.
board_en_gb,board,board,en-GB,kuperman:source_file_not_supplied;brysbaert_biemiller:source_file_not_supplied,Kuperman Stadthagen-Gonzalez Brysbaert AoA ratings,https://link.springer.com/article/10.3758/s13428-012-0210-4,unavailable,,,Brysbaert Biemiller AoA norms,https://link.springer.com/article/10.3758/s13428-016-0811-4,unavailable,,,candidate_review,,in_review,AoA source data not available or no exact match; keep active age_band unchanged.
boat_en_gb,boat,boat,en-GB,kuperman:source_file_not_supplied;brysbaert_biemiller:source_file_not_supplied,Kuperman Stadthagen-Gonzalez Brysbaert AoA ratings,https://link.springer.com/article/10.3758/s13428-012-0210-4,unavailable,,,Brysbaert Biemiller AoA norms,https://link.springer.com/article/10.3758/s13428-016-0811-4,unavailable,,,candidate_review,,in_review,AoA source data not available or no exact match; keep active age_band unchanged.
boil_en_gb,boil,boil,en-GB,kuperman:source_file_not_supplied;brysbaert_biemiller:source_file_not_supplied,Kuperman Stadthagen-Gonzalez Brysbaert AoA ratings,https://link.springer.com/article/10.3758/s13428-012-0210-4,unavailable,,,Brysbaert Biemiller AoA norms,https://link.springer.com/article/10.3758/s13428-016-0811-4,unavailable,,,candidate_review,,in_review,AoA source data not available or no exact match; keep active age_band unchanged.
bolt_en_gb,bolt,bolt,en-GB,kuperman:source_file_not_supplied;brysbaert_biemiller:source_file_not_supplied,Kuperman Stadthagen-Gonzalez Brysbaert AoA ratings,https://link.springer.com/article/10.3758/s13428-012-0210-4,unavailable,,,Brysbaert Biemiller AoA norms,https://link.springer.com/article/10.3758/s13428-016-0811-4,unavailable,,,candidate_review,,in_review,AoA source data not available or no exact match; keep active age_band unchanged.
bomb_en_gb,bomb,bomb,en-GB,kuperman:source_file_not_supplied;brysbaert_biemiller:source_file_not_supplied,Kuperman Stadthagen-Gonzalez Brysbaert AoA ratings,https://link.springer.com/article/10.3758/s13428-012-0210-4,unavailable,,,Brysbaert Biemiller AoA norms,https://link.springer.com/article/10.3758/s13428-016-0811-4,unavailable,,,candidate_review,,in_review,AoA source data not available or no exact match; keep active age_band unchanged.
bombard_en_gb,bombard,bombard,en-GB,kuperman:source_file_not_supplied;brysbaert_biemiller:source_file_not_supplied,Kuperman Stadthagen-Gonzalez Brysbaert AoA ratings,https://link.springer.com/article/10.3758/s13428-012-0210-4,unavailable,,,Brysbaert Biemiller AoA norms,https://link.springer.com/article/10.3758/s13428-016-0811-4,unavailable,,,candidate_review,,in_review,AoA source data not available or no exact match; keep active age_band unchanged.
